datetime,open,high,low,close,volume,signals,signal_type
2021-01-28 01:45:00,30873.98,31178.61,30853.34,31166.0,515.360531,1,tpsl
2021-01-31,34262.89,34342.69,32171.67,33092.98,68742.280384,-1,market
2021-02-01 12:09:00,33822.38,34427.0,33798.22,34416.68,1230.843379,1,tpsl
2021-02-02,33517.09,35984.33,33418.0,35466.24,78056.65988,1,market
2021-02-09 04:54:00,45756.64,46794.45,45722.94,46331.32,1551.874268,-1,tpsl
2021-02-13,47298.15,48150.0,46202.53,47153.69,63768.097399,-1,market
2021-02-14 11:15:00,48011.86,48333.0,48006.7,48332.99,573.335015,1,tpsl
2021-02-22,57412.35,57508.47,47622.0,54087.67,134019.434944,-1,market
2021-03-01,45134.11,49790.0,44950.53,49587.03,85086.111648,2,market
2021-03-02 00:48:00,48448.5,48466.77,48328.28,48346.56,113.963882,-1,tpsl
2021-03-05,48374.09,49448.93,46300.0,48751.71,78192.496372,-1,market
2021-03-07 13:27:00,49893.6,50179.17,49833.83,50052.68,627.837839,1,tpsl
2021-03-15,58976.08,60633.43,54600.0,55605.2,102771.427298,-1,market
2021-03-17 05:30:00,56900.74,57189.43,56900.0,57094.46,523.031212,1,tpsl
2021-03-21,58100.02,58589.1,55450.11,57351.56,48564.470274,-1,market
2021-03-26,51293.78,55073.46,51214.6,55025.59,63813.774692,2,market
2021-03-27 00:03:00,53705.46,53752.52,53623.14,53630.01,89.258185,-1,tpsl
2021-04-02,58720.45,60200.0,58428.57,58950.01,47382.418781,-1,market
2021-04-05,58202.01,59272.0,56777.77,59129.99,54258.01579,2,market
2021-04-06 19:51:00,57862.39,57869.04,57444.0,57452.95,583.335632,-1,tpsl
2021-04-07,57990.03,58655.0,55473.0,55953.45,71228.405659,-1,market
2021-04-08 18:18:00,57296.29,57533.51,57290.74,57456.03,419.243362,1,tpsl
2021-04-09,58077.52,58894.9,57654.0,58142.54,40831.884911,1,market
2021-04-16,63158.74,63520.61,60000.0,61334.8,91764.139884,-2,market
2021-04-26,49066.76,54356.62,48753.44,54001.39,86310.802124,2,market
2021-04-29 23:30:00,52742.98,52752.35,52502.0,52596.74,396.229415,-1,tpsl
2021-04-30,53555.0,57963.0,53013.01,57694.27,68578.910045,1,market
2021-05-02 14:51:00,56410.7,56410.71,56035.25,56183.5,668.493286,-1,tpsl
2021-05-03,56578.21,58981.44,56435.0,57169.39,57649.931286,-1,market
2021-05-06,57436.11,58360.0,55200.0,56393.68,70181.671908,2,market
2021-05-10,58240.83,59500.0,53400.0,55816.14,89586.34925,-2,market
2021-05-12 06:24:00,57201.57,57312.41,57190.0,57251.78,153.179121,1,tpsl
2021-05-21,40525.39,42200.0,33488.0,37252.01,202100.888258,1,market
2021-05-22 00:51:00,36386.13,36549.89,36183.56,36220.94,682.405173,-1,tpsl
2021-05-24,34681.44,39920.0,34031.0,38796.29,161630.893971,1,market
