date_time,executed_price,capital,signal,order_status,order_type,profit_loss%,stop_loss
2019-09-28 23:57:00,8198.81,6732.178632004059,2,LONG,Market,0.17900162120646199,7378.928999999999
2019-10-02 23:57:00,8359.94,6854.386874753925,-2,SHORT,Market,0.019652852060238136,9195.934000000001
2019-10-03 23:57:00,8223.96,6955.596468688146,2,LONG,Market,0.016265666978471302,7401.563999999999
2019-10-04 23:57:00,8137.13,6871.72467674386,-2,SHORT,Market,-0.010558173921079264,8950.843
2019-10-08 23:57:00,8168.39,6835.018333239046,2,LONG,Market,-0.003841649328448755,7351.551
2019-10-11 23:57:00,8258.5,6900.1666499702005,-2,SHORT,Market,0.011031549668906562,9084.35
2019-10-15 23:57:00,8159.29,6972.708636278292,2,LONG,Market,0.012013077435369623,7343.361
2019-10-16 23:57:00,7991.74,6819.065873270509,-2,SHORT,Market,-0.020534874970738897,8790.914
2019-10-20 23:57:00,8223.35,6611.212746271724,2,LONG,Market,-0.028981173061185746,7401.015
2019-10-22 23:57:00,8020.0,6437.8114455293335,-2,SHORT,Market,-0.024728364960752047,8822.0
2019-10-25 23:57:00,8655.02,5918.4117078947,2,LONG,Market,-0.07917955112219457,7789.518
2019-10-29 23:57:00,9407.62,6424.171451235728,-2,SHORT,Market,0.08695531610556652,10348.382000000001
2019-11-02 23:57:00,9289.52,6495.182015294314,2,LONG,Market,0.012553653315078666,8360.568000000001
2019-11-07 23:57:00,9216.2,6434.174295819739,-2,SHORT,Market,-0.00789276518054751,10137.820000000002
2019-11-10 23:57:00,9039.47,6547.904864555501,2,LONG,Market,0.019176016145483102,8135.522999999999
2019-11-12 23:57:00,8821.94,6380.511186655607,-2,SHORT,Market,-0.024064463956404398,9704.134
2019-11-13 23:57:00,8777.12,6403.356703752628,2,LONG,Market,0.005080515170132614,7899.408
2019-11-14 23:57:00,8646.68,6298.589035801756,-2,SHORT,Market,-0.014861366826476168,9511.348
2019-11-26 23:57:00,7156.14,7374.910360941326,2,LONG,Market,0.17238292616356798,6440.526
2019-12-01 23:57:00,7390.89,7605.774537813977,-2,SHORT,Market,0.032803997685903294,8129.979
2019-12-05 23:57:00,7389.0,7596.310826328052,2,LONG,Market,0.00025572021772754397,6650.1
2019-12-09 23:57:00,7338.64,7533.143425562388,-2,SHORT,Market,-0.0068155366084720085,8072.504000000001
2019-12-14 23:57:00,7064.05,7803.711447937423,2,LONG,Market,0.037417014596710034,6357.645
2019-12-15 23:57:00,7118.59,7852.256646596805,-2,SHORT,Market,0.0077207834032884766,7830.4490000000005
2019-12-18 23:57:00,7277.83,7664.82643332888,2,LONG,Market,-0.022369598473855043,6550.047
2019-12-24 23:57:00,7255.77,7630.096159777403,-2,SHORT,Market,-0.0030311232881229007,7981.347000000001
2019-12-28 23:57:00,7316.14,7555.166519038295,2,LONG,Market,-0.00832027476063876,6584.526
2019-12-31 23:57:00,7195.23,7418.973503625547,-2,SHORT,Market,-0.016526474343027984,7914.753
2020-01-04 23:57:00,7354.11,7244.024496944764,2,LONG,Market,-0.022081295524951965,6618.699
2020-01-09 23:57:00,7817.76,7689.867967945144,-2,SHORT,Market,0.06304637814772972,8599.536
2020-01-11 23:57:00,8020.01,7479.391807277059,2,LONG,Market,-0.0258705818546489,7218.009
2020-01-12 23:57:00,8184.98,7622.02231157993,-2,SHORT,Market,0.020569799788279483,9003.478
